Accession,Length,Geo_Location,Country,Host,Collection_Date
OM066736,10767,Ghana: Daboya,Ghana,Homo sapiens,2021-11-04
OM066737,10825,Ghana: Damongo,Ghana,Homo sapiens,2021-11-04
OM066735,10478,Ghana: Damongo,Ghana,Homo sapiens,2021-10-26
MZ712135,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-03-08
MZ712127,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-03-04
MZ712138,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-03-03
MZ712137,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-26
MZ712133,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-25
MZ712134,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-25
MZ712132,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-24
MZ712149,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-24
MZ712128,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-22
MZ712129,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-22
MZ712130,9473,Brazil,Brazil,Alouatta guariba clamitans,2021-02-22
MZ712147,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-22
MZ712148,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-22
MZ712139,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-20
MZ712131,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-19
MZ712145,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-19
MZ712146,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-19
MZ712144,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-11
MZ712136,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-08
MZ712143,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-08
MZ712141,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-03
MZ712142,10172,Brazil,Brazil,Alouatta guariba clamitans,2021-02-03
MZ712140,10164,Brazil,Brazil,Alouatta guariba clamitans,2021-01-25
MT505351,11519,USA,USA,,2020-05-19
MT505352,11519,USA,USA,,2020-05-19
MZ595182,10643,Senegal,Senegal,Culicidae,2020
MZ595183,10619,Senegal,Senegal,Culicidae,2020
MZ595184,10535,Senegal,Senegal,Culicidae,2020
MZ595185,10603,Senegal,Senegal,Culicidae,2020
MZ595186,10650,Senegal,Senegal,Culicidae,2020
MZ595187,10596,Senegal,Senegal,Culicidae,2020
MZ595188,10637,Senegal,Senegal,Culicidae,2020
MZ595189,10657,Senegal,Senegal,Culicidae,2020
MZ595190,10637,Senegal,Senegal,Culicidae,2020
MZ595191,10637,Senegal,Senegal,Culicidae,2020
MZ595192,10601,Senegal,Senegal,Culicidae,2020
MZ595193,10651,Senegal,Senegal,Culicidae,2020
MZ595194,10598,Senegal,Senegal,Culicidae,2020
MZ595195,10652,Senegal,Senegal,Culicidae,2020
MZ595196,10598,Senegal,Senegal,Culicidae,2020
MZ595197,10643,Senegal,Senegal,Culicidae,2020
MZ595198,10530,Senegal,Senegal,Culicidae,2020
MZ595199,10605,Senegal,Senegal,Culicidae,2020
MZ595203,10519,Senegal,Senegal,Homo sapiens,2020
MZ595204,10516,Senegal,Senegal,Homo sapiens,2020
MN737509,10862,Brazil,Brazil,,2019-11-21
MW249074,10715,France,France,Homo sapiens,2019-02-07
MW249075,10715,France,France,Homo sapiens,2019-02-07
MW249076,10715,France,France,Homo sapiens,2019-02-07
MW249077,10717,France,France,Homo sapiens,2019-02-07
MW249078,10727,France,France,Homo sapiens,2019-02-07
MW249079,10715,France,France,Homo sapiens,2019-02-07
MW249080,10862,France,France,Homo sapiens,2019-02-07
MW249081,10714,France,France,Homo sapiens,2019-02-07
MW249082,10714,France,France,Homo sapiens,2019-02-07
MW249083,10715,France,France,Homo sapiens,2019-02-07
MW249084,10715,France,France,Homo sapiens,2019-02-07
MW249085,10714,France,France,Homo sapiens,2019-02-07
MW249086,10715,France,France,Homo sapiens,2019-02-07
MW249087,10727,France,France,Homo sapiens,2019-02-07
MW249088,10715,France,France,Homo sapiens,2019-02-07
MW249089,10714,France,France,Homo sapiens,2019-02-07
MW249090,10714,France,France,Homo sapiens,2019-02-07
MW249091,10714,France,France,Homo sapiens,2019-02-07
MW249092,10715,France,France,Homo sapiens,2019-02-07
MW249093,10716,France,France,Homo sapiens,2019-02-07
MW249094,10715,France,France,Homo sapiens,2019-02-07
MW249095,10715,France,France,Homo sapiens,2019-02-07
MN708488,10862,France,France,,2019-02-07
MN708489,10862,Belgium,Belgium,,2019-02-07
MN708490,10862,Belgium,Belgium,,2019-02-07
MN708491,10862,Belgium,Belgium,,2019-02-07
MN708492,10862,Belgium,Belgium,,2019-02-07
MN708493,10862,Belgium,Belgium,,2019-02-07
MN708494,10862,Belgium,Belgium,,2019-02-07
MN708495,10862,Belgium,Belgium,,2019-02-07
MN708496,10862,Belgium,Belgium,,2019-02-07
MN708497,10862,Belgium,Belgium,,2019-02-07
MW308135,10963,"Brazil: Sao Paulo, Iporanga",Brazil,Homo sapiens,2019-01-20
MK533792,11007,Brazil: Casimiro de Abreu-RJ,Brazil,Alouatta guariba clamitans,2019-01-10
MZ604838,10261,Brazil,Brazil,Homo sapiens,2019
MZ604839,10258,Brazil,Brazil,Homo sapiens,2019
MZ604841,10282,Brazil,Brazil,Homo sapiens,2019
MZ604843,10081,Brazil,Brazil,Homo sapiens,2019
MZ604844,10279,Brazil,Brazil,Homo sapiens,2019
MZ604846,10881,Brazil,Brazil,Homo sapiens,2019
MZ604847,10277,Brazil,Brazil,Homo sapiens,2019
MZ604848,10838,Brazil,Brazil,Homo sapiens,2019
MZ604849,10010,Brazil,Brazil,Homo sapiens,2019
MZ604850,10282,Brazil,Brazil,Homo sapiens,2019
MZ604851,10276,Brazil,Brazil,Homo sapiens,2019
MZ604852,10282,Brazil,Brazil,Homo sapiens,2019
MZ604853,10866,Brazil,Brazil,Homo sapiens,2019
MZ604854,10866,Brazil,Brazil,Homo sapiens,2019
MZ604855,10205,Brazil,Brazil,Homo sapiens,2019
MZ604857,10850,Brazil,Brazil,Homo sapiens,2019
MZ604858,10858,Brazil,Brazil,Homo sapiens,2019
MZ604860,10272,Brazil,Brazil,Homo sapiens,2019
MZ604863,10287,Brazil,Brazil,Homo sapiens,2019
MZ604864,10849,Brazil,Brazil,Homo sapiens,2019
MZ604867,10854,Brazil,Brazil,Homo sapiens,2019
MZ604869,10279,Brazil,Brazil,Homo sapiens,2019
MZ604871,10864,Brazil,Brazil,Homo sapiens,2019
MZ604874,10283,Brazil,Brazil,Homo sapiens,2019
MZ604875,10279,Brazil,Brazil,Homo sapiens,2019
MK292067,10770,Netherlands,Netherlands,Homo sapiens,2018-11-19
MK457703,7419,Nigeria,Nigeria,Homo sapiens,2018-10-31
MW308134,10955,"Brazil: Sao Paulo, Cunha",Brazil,Homo sapiens,2018-10-26
