taxa	Accession	Length	Country	Host	Collection_Date
MZ712135|Brazil|NHP|2021-03-08	MZ712135	10172	Brazil	NHP	2021-03-08
MZ712127|Brazil|NHP|2021-03-04	MZ712127	10172	Brazil	NHP	2021-03-04
MZ712138|Brazil|NHP|2021-03-03	MZ712138	10172	Brazil	NHP	2021-03-03
MZ712137|Brazil|NHP|2021-02-26	MZ712137	10172	Brazil	NHP	2021-02-26
MZ712133|Brazil|NHP|2021-02-25	MZ712133	10172	Brazil	NHP	2021-02-25
MZ712134|Brazil|NHP|2021-02-25	MZ712134	10172	Brazil	NHP	2021-02-25
MZ712132|Brazil|NHP|2021-02-24	MZ712132	10172	Brazil	NHP	2021-02-24
MZ712149|Brazil|NHP|2021-02-24	MZ712149	10172	Brazil	NHP	2021-02-24
MZ712128|Brazil|NHP|2021-02-22	MZ712128	10172	Brazil	NHP	2021-02-22
MZ712129|Brazil|NHP|2021-02-22	MZ712129	10172	Brazil	NHP	2021-02-22
MZ712130|Brazil|NHP|2021-02-22	MZ712130	9473	Brazil	NHP	2021-02-22
MZ712147|Brazil|NHP|2021-02-22	MZ712147	10172	Brazil	NHP	2021-02-22
MZ712148|Brazil|NHP|2021-02-22	MZ712148	10172	Brazil	NHP	2021-02-22
MZ712139|Brazil|NHP|2021-02-20	MZ712139	10172	Brazil	NHP	2021-02-20
MZ712131|Brazil|NHP|2021-02-19	MZ712131	10172	Brazil	NHP	2021-02-19
MZ712145|Brazil|NHP|2021-02-19	MZ712145	10172	Brazil	NHP	2021-02-19
MZ712146|Brazil|NHP|2021-02-19	MZ712146	10172	Brazil	NHP	2021-02-19
MZ712144|Brazil|NHP|2021-02-11	MZ712144	10172	Brazil	NHP	2021-02-11
MZ712136|Brazil|NHP|2021-02-08	MZ712136	10172	Brazil	NHP	2021-02-08
MZ712143|Brazil|NHP|2021-02-08	MZ712143	10172	Brazil	NHP	2021-02-08
MZ712141|Brazil|NHP|2021-02-03	MZ712141	10172	Brazil	NHP	2021-02-03
MZ712142|Brazil|NHP|2021-02-03	MZ712142	10172	Brazil	NHP	2021-02-03
MZ712140|Brazil|NHP|2021-01-25	MZ712140	10164	Brazil	NHP	2021-01-25
MN737509|Brazil|Unknown|2019-11-21	MN737509	10862	Brazil	Unknown	2019-11-21
MW308135|Brazil|Human|2019-01-20	MW308135	10963	Brazil	Human	2019-01-20
MK533792|Brazil|NHP|2019-01-10	MK533792	11007	Brazil	NHP	2019-01-10
MW308134|Brazil|Human|2018-10-26	MW308134	10955	Brazil	Human	2018-10-26
MK882600|Brazil|Human|2018-04-24	MK882600	10169	Brazil	Human	2018-04-24
MK882603|Brazil|Human|2018-04-24	MK882603	10169	Brazil	Human	2018-04-24
MK583181|Brazil|Human|2018-03-27	MK583181	10943	Brazil	Human	2018-03-27
MK583180|Brazil|Human|2018-03-14	MK583180	10946	Brazil	Human	2018-03-14
MK583182|Brazil|Human|2018-03-14	MK583182	10944	Brazil	Human	2018-03-14
MK583179|Brazil|Human|2018-03-11	MK583179	10986	Brazil	Human	2018-03-11
MK583178|Brazil|Human|2018-03-10	MK583178	10945	Brazil	Human	2018-03-10
MK583177|Brazil|Human|2018-03-04	MK583177	10953	Brazil	Human	2018-03-04
MK583175|Brazil|Human|2018-02-27	MK583175	10946	Brazil	Human	2018-02-27
MK583176|Brazil|Human|2018-02-27	MK583176	10945	Brazil	Human	2018-02-27
